categoryA,categoryC,featureD,featureE,featureF,compositionC,unit
0,360,93.6771974435832,15.047884084971097,0.0,14.0,14
78,610,122.299437237519,30.8319059046492,0.0,26.0,5
12,610,122.299437237519,30.8319059046492,0.0,26.0,0
134,613,122.299437237519,30.8319059046492,0.0,26.0,17
112,613,122.299437237519,30.8319059046492,0.0,26.0,0
0,91,122.299437237519,30.8319059046492,2.0,26.0,14
23,1600,122.299437237519,30.8319059046492,5.0,26.0,3
33,1600,122.299437237519,30.8319059046492,5.0,26.0,0
123,1600,122.299437237519,30.8319059046492,5.0,26.0,16
2,199,122.299437237519,30.8319059046492,0.0,26.0,13
146,1926,93.6771974435832,15.047884084971097,4.0,14.0,11
112,1823,274.70898193692403,26.637510770071906,0.0,28.2,0
112,1972,274.70898193692403,26.637510770071906,0.0,28.2,0
112,1598,274.70898193692403,26.637510770071906,0.0,28.2,0
112,1562,274.70898193692403,26.637510770071906,0.0,28.2,0
112,1588,274.70898193692403,26.637510770071906,5.0,28.2,0
112,557,274.70898193692403,26.637510770071906,0.0,28.2,0
112,1866,274.70898193692403,26.637510770071906,0.0,28.2,0
156,703,93.6771974435832,15.047884084971097,0.0,14.0,2
123,455,44.7230757742448,17.622537763760466,0.0,44.05,16
0,1889,112.2619412173,14.289474436432974,4.0,27.680000000000003,14
101,1784,93.6771974435832,15.047884084971097,0.0,14.0,12
112,2175,274.70898193692403,26.637510770071906,0.0,28.2,0
112,2034,274.70898193692403,26.637510770071906,18.0,28.2,0
90,795,107.127966860564,28.413315299263893,4.0,18.5,1
2,1200,122.299437237519,30.8319059046492,0.0,26.0,13
2,1313,122.299437237519,30.8319059046492,1.0,26.0,13
134,1563,122.299437237519,30.8319059046492,1.0,26.0,17
78,1563,122.299437237519,30.8319059046492,1.0,26.0,5
1,1177,122.299437237519,30.8319059046492,5.0,26.0,15
0,1697,122.299437237519,30.8319059046492,0.0,26.0,14
145,1697,122.299437237519,30.8319059046492,0.0,26.0,18
49,1697,122.299437237519,30.8319059046492,0.0,26.0,13
75,1697,122.299437237519,30.8319059046492,0.0,26.0,0
33,1697,122.299437237519,30.8319059046492,2.0,26.0,0
123,1666,122.299437237519,30.8319059046492,3.0,26.0,16
58,1570,122.299437237519,30.8319059046492,0.0,26.0,11
78,1570,122.299437237519,30.8319059046492,0.0,26.0,5
0,1138,122.299437237519,30.8319059046492,0.0,26.0,14
79,1978,274.70898193692403,26.637510770071906,24.0,28.2,1
79,847,274.70898193692403,26.637510770071906,14.0,28.2,1
79,2072,274.70898193692403,26.637510770071906,0.0,28.2,1
79,469,274.70898193692403,26.637510770071906,84.0,28.2,1
79,771,274.70898193692403,26.637510770071906,1.0,28.2,1
79,1301,274.70898193692403,26.637510770071906,5.0,28.2,1
79,1936,274.70898193692403,26.637510770071906,4.0,28.2,1
79,181,274.70898193692403,26.637510770071906,3.0,28.2,1
79,185,274.70898193692403,26.637510770071906,0.0,28.2,1
79,2177,274.70898193692403,26.637510770071906,1.0,28.2,1
79,1792,274.70898193692403,26.637510770071906,0.0,28.2,1
79,1886,274.70898193692403,26.637510770071906,4.0,28.2,1
79,116,274.70898193692403,26.637510770071906,0.0,28.2,1
33,1697,122.299437237519,30.8319059046492,0.0,26.0,0
112,1697,122.299437237519,30.8319059046492,0.0,26.0,0
0,1697,122.299437237519,30.8319059046492,2.0,26.0,14
1,1697,122.299437237519,30.8319059046492,2.0,26.0,15
75,1697,122.299437237519,30.8319059046492,2.0,26.0,0
123,1147,274.70898193692403,26.637510770071906,5.0,28.2,16
123,1501,274.70898193692403,26.637510770071906,4.0,28.2,16
145,2036,64.7110998526161,28.29370430483317,2.0,17.93,18
90,2036,64.7110998526161,28.29370430483317,2.0,17.93,1
79,193,64.7110998526161,28.29370430483317,0.0,17.93,1
79,219,237.30759674834,38.767233989074136,0.0,17.7,1
156,219,237.30759674834,38.767233989074136,0.0,17.7,2
145,128,237.30759674834,38.767233989074136,7.0,17.7,18
0,128,237.30759674834,38.767233989074136,7.0,17.7,14
90,128,237.30759674834,38.767233989074136,7.0,17.7,1
90,378,237.30759674834,38.767233989074136,4.0,17.7,1
90,352,237.30759674834,38.767233989074136,1.0,17.7,1
134,2128,64.7110998526161,28.29370430483317,2.0,17.93,17
0,328,64.7110998526161,28.29370430483317,0.0,17.93,14
0,366,64.7110998526161,28.29370430483317,65.0,17.93,14
80,2167,64.7110998526161,28.29370430483317,1.0,17.93,12
41,2167,64.7110998526161,28.29370430483317,1.0,17.93,0
0,2167,64.7110998526161,28.29370430483317,1.0,17.93,14
23,1757,64.7110998526161,28.29370430483317,1.0,17.93,3
156,1757,64.7110998526161,28.29370430483317,1.0,17.93,2
134,55,64.7110998526161,28.29370430483317,5.0,17.93,17
134,1869,64.7110998526161,28.29370430483317,1.0,17.93,17
101,1820,64.7110998526161,28.29370430483317,0.0,17.93,12
80,1944,64.7110998526161,28.29370430483317,4.0,17.93,12
41,1944,64.7110998526161,28.29370430483317,4.0,17.93,0
97,2073,44.7230757742448,17.622537763760466,0.0,44.05,12
123,366,64.7110998526161,28.29370430483317,65.0,17.93,16
145,2167,64.7110998526161,28.29370430483317,1.0,17.93,18
79,1757,64.7110998526161,28.29370430483317,1.0,17.93,1
134,1757,64.7110998526161,28.29370430483317,1.0,17.93,17
79,1869,64.7110998526161,28.29370430483317,1.0,17.93,1
156,1869,64.7110998526161,28.29370430483317,1.0,17.93,2
65,1869,64.7110998526161,28.29370430483317,1.0,17.93,4
1,1626,64.7110998526161,28.29370430483317,2.0,17.93,15
0,1154,122.299437237519,30.8319059046492,0.0,26.0,14
2,1154,122.299437237519,30.8319059046492,0.0,26.0,13
58,1630,122.299437237519,30.8319059046492,0.0,26.0,11
80,1795,122.299437237519,30.8319059046492,3.0,26.0,12
58,1795,122.299437237519,30.8319059046492,3.0,26.0,11
41,1795,122.299437237519,30.8319059046492,3.0,26.0,0
33,1795,122.299437237519,30.8319059046492,3.0,26.0,0
58,1620,122.299437237519,30.8319059046492,0.0,26.0,11
156,500,122.299437237519,30.8319059046492,0.0,26.0,2
33,1620,122.299437237519,30.8319059046492,0.0,26.0,0
101,767,122.299437237519,30.8319059046492,3.0,26.0,12
17,222,93.6771974435832,15.047884084971097,4.0,14.0,11
30,222,93.6771974435832,15.047884084971097,4.0,14.0,11
120,222,93.6771974435832,15.047884084971097,4.0,14.0,11
145,1626,64.7110998526161,28.29370430483317,2.0,17.93,18
80,1820,64.7110998526161,28.29370430483317,0.0,17.93,12
23,1944,64.7110998526161,28.29370430483317,4.0,17.93,3
123,1944,64.7110998526161,28.29370430483317,4.0,17.93,16
134,2036,64.7110998526161,28.29370430483317,2.0,17.93,17
23,193,64.7110998526161,28.29370430483317,0.0,17.93,3
123,193,64.7110998526161,28.29370430483317,0.0,17.93,16
101,666,64.7110998526161,28.29370430483317,1.0,17.93,12
33,563,18.1485472672831,14.177182135138864,2.0,13.13,0
65,563,18.1485472672831,14.177182135138864,2.0,13.13,4
90,1299,18.1485472672831,14.177182135138864,33.0,13.13,1
84,428,137.657705257705,21.99909212365624,6.0,14.899999999999997,11
84,1077,137.657705257705,21.99909212365624,5.0,14.899999999999997,11
1,1679,274.70898193692403,26.637510770071906,0.0,28.2,15
33,1346,122.299437237519,30.8319059046492,0.0,26.0,0
145,193,64.7110998526161,28.29370430483317,0.0,17.93,18
84,1406,137.657705257705,21.99909212365624,0.0,14.899999999999997,11
0,130,93.6771974435832,15.047884084971097,1.0,14.0,14
1,130,93.6771974435832,15.047884084971097,1.0,14.0,15
65,130,93.6771974435832,15.047884084971097,1.0,14.0,4
101,1224,122.299437237519,30.8319059046492,0.0,26.0,12
41,1224,122.299437237519,30.8319059046492,0.0,26.0,0
79,1224,122.299437237519,30.8319059046492,0.0,26.0,1
156,1224,122.299437237519,30.8319059046492,0.0,26.0,2
112,1224,122.299437237519,30.8319059046492,0.0,26.0,0
79,321,122.299437237519,30.8319059046492,1.0,26.0,1
78,889,122.299437237519,30.8319059046492,2.0,26.0,5
1,565,122.299437237519,30.8319059046492,0.0,26.0,15
2,1549,122.299437237519,30.8319059046492,0.0,26.0,13
1,1549,122.299437237519,30.8319059046492,0.0,26.0,15
49,1549,122.299437237519,30.8319059046492,0.0,26.0,13
134,1049,122.299437237519,30.8319059046492,0.0,26.0,17
33,1549,122.299437237519,30.8319059046492,0.0,26.0,0
134,954,122.299437237519,30.8319059046492,0.0,26.0,17
78,954,122.299437237519,30.8319059046492,0.0,26.0,5
90,2138,122.299437237519,30.8319059046492,3.0,26.0,1
65,620,122.299437237519,30.8319059046492,0.0,26.0,4
80,561,93.6771974435832,15.047884084971097,0.0,14.0,12
41,561,93.6771974435832,15.047884084971097,0.0,14.0,0
79,1161,93.6771974435832,15.047884084971097,0.0,14.0,1
80,2078,93.6771974435832,15.047884084971097,0.0,14.0,12
41,2078,93.6771974435832,15.047884084971097,0.0,14.0,0
79,2078,93.6771974435832,15.047884084971097,0.0,14.0,1
0,575,93.6771974435832,15.047884084971097,6.0,14.0,14
81,575,93.6771974435832,15.047884084971097,6.0,14.0,6
134,575,93.6771974435832,15.047884084971097,6.0,14.0,17
0,1522,93.6771974435832,15.047884084971097,4.0,14.0,14
2,1549,122.299437237519,30.8319059046492,0.0,26.0,13
49,1549,122.299437237519,30.8319059046492,0.0,26.0,13
90,1549,122.299437237519,30.8319059046492,0.0,26.0,1
90,1137,122.299437237519,30.8319059046492,0.0,26.0,1
58,2138,122.299437237519,30.8319059046492,3.0,26.0,11
78,2138,122.299437237519,30.8319059046492,3.0,26.0,5
156,2138,122.299437237519,30.8319059046492,3.0,26.0,2
33,2138,122.299437237519,30.8319059046492,3.0,26.0,0
12,1989,122.299437237519,30.8319059046492,5.0,26.0,0
90,1989,122.299437237519,30.8319059046492,5.0,26.0,1
101,1830,122.299437237519,30.8319059046492,0.0,26.0,12
145,1830,122.299437237519,30.8319059046492,0.0,26.0,18
75,89,377.379590488771,24.6255027667738,5.0,40.14,0
90,89,377.379590488771,24.6255027667738,5.0,40.14,1
101,309,122.299437237519,30.8319059046492,0.0,26.0,12
23,309,122.299437237519,30.8319059046492,0.0,26.0,3
112,309,122.299437237519,30.8319059046492,0.0,26.0,0
58,1016,122.299437237519,30.8319059046492,1.0,26.0,11
58,311,122.299437237519,30.8319059046492,2.0,26.0,11
65,311,122.299437237519,30.8319059046492,2.0,26.0,4
75,488,122.299437237519,30.8319059046492,0.0,26.0,0
90,865,122.299437237519,30.8319059046492,4.0,26.0,1
2,2172,122.299437237519,30.8319059046492,0.0,26.0,13
49,2172,122.299437237519,30.8319059046492,0.0,26.0,13
90,2172,122.299437237519,30.8319059046492,0.0,26.0,1
123,2172,122.299437237519,30.8319059046492,0.0,26.0,16
23,2142,122.299437237519,30.8319059046492,0.0,26.0,3
78,2142,122.299437237519,30.8319059046492,0.0,26.0,5
156,2142,122.299437237519,30.8319059046492,0.0,26.0,2
33,2142,122.299437237519,30.8319059046492,0.0,26.0,0
112,2142,122.299437237519,30.8319059046492,0.0,26.0,0
0,1874,122.299437237519,30.8319059046492,1.0,26.0,14
75,1874,122.299437237519,30.8319059046492,1.0,26.0,0
80,1849,122.299437237519,30.8319059046492,0.0,26.0,12
101,1107,93.6771974435832,15.047884084971097,0.0,14.0,12
145,1107,93.6771974435832,15.047884084971097,0.0,14.0,18
156,2078,93.6771974435832,15.047884084971097,0.0,14.0,2
33,2078,93.6771974435832,15.047884084971097,0.0,14.0,0
2,575,93.6771974435832,15.047884084971097,6.0,14.0,13
145,575,93.6771974435832,15.047884084971097,6.0,14.0,18
49,575,93.6771974435832,15.047884084971097,6.0,14.0,13
90,575,93.6771974435832,15.047884084971097,6.0,14.0,1
123,575,93.6771974435832,15.047884084971097,6.0,14.0,16
145,242,122.299437237519,30.8319059046492,3.0,26.0,18
75,1298,122.299437237519,30.8319059046492,0.0,26.0,0
90,947,122.299437237519,30.8319059046492,6.0,26.0,1
2,89,377.379590488771,24.6255027667738,5.0,40.14,13
145,89,377.379590488771,24.6255027667738,5.0,40.14,18
49,89,377.379590488771,24.6255027667738,5.0,40.14,13
80,309,122.299437237519,30.8319059046492,0.0,26.0,12
41,309,122.299437237519,30.8319059046492,0.0,26.0,0
79,309,122.299437237519,30.8319059046492,0.0,26.0,1
80,1016,122.299437237519,30.8319059046492,1.0,26.0,12
12,311,122.299437237519,30.8319059046492,2.0,26.0,0
79,2138,122.299437237519,30.8319059046492,3.0,26.0,1
101,1989,122.299437237519,30.8319059046492,5.0,26.0,12
123,2078,93.6771974435832,15.047884084971097,0.0,14.0,16
82,575,93.6771974435832,15.047884084971097,6.0,14.0,7
101,575,93.6771974435832,15.047884084971097,6.0,14.0,12
156,575,93.6771974435832,15.047884084971097,6.0,14.0,2
82,1522,93.6771974435832,15.047884084971097,4.0,14.0,7
101,1522,93.6771974435832,15.047884084971097,4.0,14.0,12
79,1684,93.6771974435832,15.047884084971097,5.0,14.0,1
134,1684,93.6771974435832,15.047884084971097,5.0,14.0,17
80,73,93.6771974435832,15.047884084971097,2.0,14.0,12
41,73,93.6771974435832,15.047884084971097,2.0,14.0,0
41,1427,122.299437237519,30.8319059046492,2.0,26.0,0
101,620,122.299437237519,30.8319059046492,0.0,26.0,12
156,620,122.299437237519,30.8319059046492,0.0,26.0,2
12,620,122.299437237519,30.8319059046492,0.0,26.0,0
58,242,122.299437237519,30.8319059046492,3.0,26.0,11
49,242,122.299437237519,30.8319059046492,3.0,26.0,13
90,242,122.299437237519,30.8319059046492,3.0,26.0,1
123,242,122.299437237519,30.8319059046492,3.0,26.0,16
112,947,122.299437237519,30.8319059046492,6.0,26.0,0
2,907,122.299437237519,30.8319059046492,4.0,26.0,13
33,907,122.299437237519,30.8319059046492,4.0,26.0,0
58,89,377.379590488771,24.6255027667738,5.0,40.14,11
123,652,122.299437237519,30.8319059046492,2.0,26.0,16
0,1913,122.299437237519,30.8319059046492,3.0,26.0,14
2,1913,122.299437237519,30.8319059046492,3.0,26.0,13
123,1913,122.299437237519,30.8319059046492,3.0,26.0,16
90,91,122.299437237519,30.8319059046492,2.0,26.0,1
75,1600,122.299437237519,30.8319059046492,5.0,26.0,0
101,199,122.299437237519,30.8319059046492,0.0,26.0,12
0,1101,122.299437237519,30.8319059046492,2.0,26.0,14
2,1101,122.299437237519,30.8319059046492,2.0,26.0,13
1,1101,122.299437237519,30.8319059046492,2.0,26.0,15
12,1514,122.299437237519,30.8319059046492,1.0,26.0,0
90,1514,122.299437237519,30.8319059046492,1.0,26.0,1
2,1878,122.299437237519,30.8319059046492,0.0,26.0,13
12,1878,122.299437237519,30.8319059046492,0.0,26.0,0
75,652,122.299437237519,30.8319059046492,2.0,26.0,0
23,1596,122.299437237519,30.8319059046492,0.0,26.0,3
12,1596,122.299437237519,30.8319059046492,0.0,26.0,0
112,1596,122.299437237519,30.8319059046492,0.0,26.0,0
134,723,93.6771974435832,15.047884084971097,1.0,14.0,17
112,723,93.6771974435832,15.047884084971097,1.0,14.0,0
75,214,122.299437237519,30.8319059046492,0.0,26.0,0
79,113,122.299437237519,30.8319059046492,0.0,26.0,1
1,29,122.299437237519,30.8319059046492,0.0,26.0,15
90,29,122.299437237519,30.8319059046492,0.0,26.0,1
33,1582,122.299437237519,30.8319059046492,1.0,26.0,0
99,156,93.6771974435832,15.047884084971097,0.0,14.0,11
12,1582,122.299437237519,30.8319059046492,1.0,26.0,0
49,1582,122.299437237519,30.8319059046492,1.0,26.0,13
90,1582,122.299437237519,30.8319059046492,1.0,26.0,1
2,633,122.299437237519,30.8319059046492,0.0,26.0,13
33,633,122.299437237519,30.8319059046492,0.0,26.0,0
90,1624,122.299437237519,30.8319059046492,1.0,26.0,1
79,1787,122.299437237519,30.8319059046492,0.0,26.0,1
49,1787,122.299437237519,30.8319059046492,0.0,26.0,13
113,156,93.6771974435832,15.047884084971097,0.0,14.0,11
148,156,93.6771974435832,15.047884084971097,0.0,14.0,11
79,156,93.6771974435832,15.047884084971097,0.0,14.0,10
79,1654,122.299437237519,30.8319059046492,0.0,26.0,1
80,1582,122.299437237519,30.8319059046492,1.0,26.0,12
41,1582,122.299437237519,30.8319059046492,1.0,26.0,0
79,1582,122.299437237519,30.8319059046492,1.0,26.0,1
1,633,122.299437237519,30.8319059046492,0.0,26.0,15
134,633,122.299437237519,30.8319059046492,0.0,26.0,17
49,1624,122.299437237519,30.8319059046492,1.0,26.0,13
123,1624,122.299437237519,30.8319059046492,1.0,26.0,16
58,633,122.299437237519,30.8319059046492,0.0,26.0,11
23,633,122.299437237519,30.8319059046492,0.0,26.0,3
41,1624,122.299437237519,30.8319059046492,3.0,26.0,0
123,633,122.299437237519,30.8319059046492,0.0,26.0,16
101,1787,122.299437237519,30.8319059046492,0.0,26.0,12
80,1787,122.299437237519,30.8319059046492,0.0,26.0,12
41,1787,122.299437237519,30.8319059046492,0.0,26.0,0
79,1512,122.299437237519,30.8319059046492,1.0,26.0,1
134,1512,122.299437237519,30.8319059046492,1.0,26.0,17
49,1512,122.299437237519,30.8319059046492,1.0,26.0,13
75,1512,122.299437237519,30.8319059046492,1.0,26.0,0
128,279,93.6771974435832,15.047884084971097,0.0,14.0,11
129,279,93.6771974435832,15.047884084971097,0.0,14.0,11
121,279,93.6771974435832,15.047884084971097,0.0,14.0,11
102,279,93.6771974435832,15.047884084971097,0.0,14.0,11
132,279,93.6771974435832,15.047884084971097,0.0,14.0,11
99,279,93.6771974435832,15.047884084971097,0.0,14.0,11
75,723,93.6771974435832,15.047884084971097,1.0,14.0,0
80,633,122.299437237519,30.8319059046492,0.0,26.0,12
41,633,122.299437237519,30.8319059046492,0.0,26.0,0
0,633,122.299437237519,30.8319059046492,0.0,26.0,14
101,1624,122.299437237519,30.8319059046492,3.0,26.0,12
112,1654,122.299437237519,30.8319059046492,0.0,26.0,0
101,1582,122.299437237519,30.8319059046492,1.0,26.0,12
23,1582,122.299437237519,30.8319059046492,1.0,26.0,3
112,1582,122.299437237519,30.8319059046492,1.0,26.0,0
0,1624,122.299437237519,30.8319059046492,3.0,26.0,14
134,69,93.6771974435832,15.047884084971097,0.0,14.0,17
156,69,93.6771974435832,15.047884084971097,0.0,14.0,2
145,348,93.6771974435832,15.047884084971097,0.0,14.0,18
79,326,44.7230757742448,17.622537763760466,0.0,44.05,1
156,29,122.299437237519,30.8319059046492,0.0,26.0,2
112,29,122.299437237519,30.8319059046492,0.0,26.0,0
23,1654,122.299437237519,30.8319059046492,0.0,26.0,3
145,1654,122.299437237519,30.8319059046492,0.0,26.0,18
49,1654,122.299437237519,30.8319059046492,0.0,26.0,13
75,1654,122.299437237519,30.8319059046492,0.0,26.0,0
101,633,122.299437237519,30.8319059046492,0.0,26.0,12
12,633,122.299437237519,30.8319059046492,0.0,26.0,0
23,1624,122.299437237519,30.8319059046492,3.0,26.0,3
151,1926,93.6771974435832,15.047884084971097,8.0,14.0,11
144,1926,93.6771974435832,15.047884084971097,8.0,14.0,11
145,1787,122.299437237519,30.8319059046492,0.0,26.0,18
90,1787,122.299437237519,30.8319059046492,0.0,26.0,1
156,1512,122.299437237519,30.8319059046492,1.0,26.0,2
90,1929,122.299437237519,30.8319059046492,0.0,26.0,1
0,348,93.6771974435832,15.047884084971097,0.0,14.0,14
5,1926,93.6771974435832,15.047884084971097,8.0,14.0,11
42,1926,93.6771974435832,15.047884084971097,8.0,14.0,11
38,1926,93.6771974435832,15.047884084971097,8.0,14.0,11
1,1047,93.6771974435832,15.047884084971097,2.0,14.0,15
65,326,44.7230757742448,17.622537763760466,0.0,44.05,4
134,1047,93.6771974435832,15.047884084971097,2.0,14.0,17
79,1286,93.6771974435832,15.047884084971097,1.0,14.0,1
79,1843,122.299437237519,30.8319059046492,1.0,26.0,1
123,2201,122.299437237519,30.8319059046492,6.0,26.0,16
101,1033,122.299437237519,30.8319059046492,1.0,26.0,12
12,1033,122.299437237519,30.8319059046492,1.0,26.0,0
0,1912,122.299437237519,30.8319059046492,6.0,26.0,14
145,1912,122.299437237519,30.8319059046492,6.0,26.0,18
90,1912,122.299437237519,30.8319059046492,6.0,26.0,1
123,218,122.299437237519,30.8319059046492,3.0,26.0,16
90,223,122.299437237519,30.8319059046492,0.0,26.0,1
79,1583,93.6771974435832,15.047884084971097,4.0,14.0,10
41,11,93.6771974435832,15.047884084971097,16.0,14.0,0
145,617,122.299437237519,30.8319059046492,0.0,26.0,18
75,617,122.299437237519,30.8319059046492,0.0,26.0,0
23,1489,122.299437237519,30.8319059046492,1.0,26.0,3
78,1489,122.299437237519,30.8319059046492,1.0,26.0,5
20,1583,93.6771974435832,15.047884084971097,4.0,14.0,11
90,1583,93.6771974435832,15.047884084971097,4.0,14.0,1
34,1583,93.6771974435832,15.047884084971097,4.0,14.0,11
80,11,93.6771974435832,15.047884084971097,16.0,14.0,12
91,13,137.657705257705,21.99909212365624,6.0,14.899999999999997,11
112,300,93.6771974435832,15.047884084971097,0.0,14.0,0
123,300,93.6771974435832,15.047884084971097,0.0,14.0,16
82,999,93.6771974435832,15.047884084971097,3.0,14.0,7
123,1391,93.6771974435832,15.047884084971097,16.0,14.0,16
0,1099,93.6771974435832,15.047884084971097,3.0,14.0,14
2,1099,93.6771974435832,15.047884084971097,3.0,14.0,13
90,226,377.379590488771,24.6255027667738,4.0,40.14,1
75,477,93.6771974435832,15.047884084971097,0.0,14.0,0
90,202,93.6771974435832,15.047884084971097,0.0,14.0,1
123,969,93.6771974435832,15.047884084971097,2.0,14.0,16
123,124,93.6771974435832,15.047884084971097,9.0,14.0,16
82,300,93.6771974435832,15.047884084971097,0.0,14.0,7
0,300,93.6771974435832,15.047884084971097,0.0,14.0,14
156,48,93.6771974435832,15.047884084971097,0.0,14.0,2
112,48,93.6771974435832,15.047884084971097,0.0,14.0,0
80,1784,93.6771974435832,15.047884084971097,0.0,14.0,12
112,956,274.70898193692403,26.637510770071906,0.0,28.2,0
112,600,274.70898193692403,26.637510770071906,5.0,28.2,0
112,2002,274.70898193692403,26.637510770071906,4.0,28.2,0
112,1511,274.70898193692403,26.637510770071906,5.0,28.2,0
112,530,274.70898193692403,26.637510770071906,4.0,28.2,0
79,647,137.976565849012,17.870783996843997,3.0,23.86,1
12,647,137.976565849012,17.870783996843997,3.0,23.86,0
112,503,137.976565849012,17.870783996843997,2.0,23.86,0
79,394,137.976565849012,17.870783996843997,0.0,23.86,1
90,1057,137.976565849012,17.870783996843997,5.0,23.86,1
79,27,137.976565849012,17.870783996843997,9.0,23.86,1
112,76,137.976565849012,17.870783996843997,1.0,23.86,0
101,76,137.976565849012,17.870783996843997,1.0,23.86,12
90,177,137.976565849012,17.870783996843997,6.0,23.86,1
12,2088,137.976565849012,17.870783996843997,0.0,23.86,0
101,682,137.976565849012,17.870783996843997,0.0,23.86,12
12,682,137.976565849012,17.870783996843997,0.0,23.86,0
