categoryA,featureA,compositionA,compositionC,compositionD,compositionG,compositionH,compositionJ,unit,result,water_quality
catA_15,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_4,0.0153144866491782,Poor
catA_3,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_1,0.0077937276863843,Poor
catA_16,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_2,0.0002923862350712,Poor
catA_12,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_11,0.1405631715875741,Standar
catA_14,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.0302295628456701,Poor
catA_13,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.0433723766952041,Poor
catA_4,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_3,0.0148063143944985,Poor
catA_12,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_11,0.0948814330264586,Poor
catA_4,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_3,0.0261074737958808,Poor
catA_8,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_9,0.0054191454546689,Poor
catA_18,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.02807452079703,Poor
catA_3,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_1,0.0052269233461673,Poor
catA_0,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_5,0.0202406905969884,Poor
catA_10,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_4,0.006838470870901,Poor
catA_8,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_9,0.0037468818533028,Poor
catA_15,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_4,0.007532298055805,Poor
catA_42,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_2,0.0017720431688815,Poor
catA_28,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_16,0.0616451992171799,Poor
catA_91,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_2,0.0003834693086016,Poor
catA_0,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_5,0.0276340080248007,Poor
catA_3,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_1,0.0066269933496674,Poor
catA_19,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_13,0.4075906312825453,Good
catA_12,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_11,0.0580056397562614,Poor
catA_11,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.0469511326615652,Poor
catA_4,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_3,0.0232463925347871,Poor
catA_16,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_2,0.0001018914801196,Poor
catA_14,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.0201277975604212,Poor
catA_2,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_1,0.0043334686734336,Poor
catA_9,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_10,0.4091545064377682,Good
catA_5,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.0780595499659065,Poor
catA_70,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_2,1.4165721591471917e-06,Poor
catA_1,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_6,0.0002228729618653,Poor
catA_7,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_8,0.6168642921414905,Good
catA_7,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_8,0.5758213701542118,Good
catA_7,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_8,0.5546572331197529,Good
catA_0,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_5,0.0769965088573959,Poor
catA_0,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_5,0.1208073399468556,Standar
catA_7,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_8,0.5883961698996548,Good
catA_3,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_1,0.0114105705285264,Poor
catA_11,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.0961675884536707,Poor
catA_1,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_6,0.000189715972146,Poor
catA_7,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_8,0.5120309514772123,Good
catA_10,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_4,0.0206013239745643,Poor
catA_15,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_4,0.016823552605982,Poor
catA_3,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_1,0.0019180959047952,Poor
catA_165,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_2,1.4165721591471917e-06,Poor
catA_171,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_2,1.4165721591471917e-06,Poor
catA_50,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_2,1.4165721591471917e-06,Poor
catA_82,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_2,0.0001772033599842,Poor
catA_10,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_4,0.0366990215745775,Poor
catA_8,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_9,0.0002580066945947,Poor
catA_16,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_2,0.0003189668985529,Poor
catA_9,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_10,0.5422017167381974,Good
catA_1,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_6,0.0004084537616312,Poor
catA_15,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_4,0.026156802819494,Poor
catA_5,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_0,0.016525494355633,Poor
catA_6,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_7,0.3344875581355874,Good
catA_132,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_2,3.543025237676877e-06,Poor
catA_117,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_2,1.4165721591471917e-06,Poor
catA_63,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_2,0.0075155929339902,Poor
catA_0,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_5,0.0199399682905225,Poor
catA_19,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_13,0.4200496253318422,Good
catA_11,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.0559739374195014,Poor
catA_7,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_8,0.4856930545633203,Good
catA_5,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.0314878399878778,Poor
catA_0,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_5,0.0237824003897254,Poor
catA_12,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_11,0.0469501094066769,Poor
catA_13,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.0803773013107053,Poor
catA_6,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_7,0.5379298638693689,Good
catA_10,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_4,0.0132101280794198,Poor
catA_80,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_2,0.0070881758652057,Poor
catA_5,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_0,0.0542404727630881,Poor
catA_5,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_0,0.0967315705735282,Poor
catA_5,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_0,0.0021304644291234,Poor
catA_5,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_0,0.0024850367452079,Poor
catA_5,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_0,0.2266323206303507,Good
catA_5,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_0,0.0141556178498371,Poor
catA_5,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_0,0.0042275929994696,Poor
catA_9,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_10,0.3690987124463519,Good
catA_6,-38764.875,0.0,44.05,0.0,0.6,10.15,10.05,unit_7,0.8458193298706591,Good
catA_0,-21250.125,0.0,27.680000000000003,1.94,0.93,10.72,13.64,unit_5,0.0405566915854738,Poor
catA_4,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_3,0.0280151474056806,Poor
catA_5,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_0,0.0187226305023107,Poor
catA_5,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_0,0.0754451094779907,Poor
catA_3,74021.25,0.0,18.5,0.0,7.9,11.1,19.7,unit_1,0.0026448582429121,Poor
catA_10,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_4,0.0156006535963198,Poor
catA_10,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_4,0.0415045428441146,Poor
catA_7,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_8,0.5796369869580313,Good
catA_19,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_13,0.3911944464235376,Good
catA_1,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_6,0.0004270100854888,Poor
catA_0,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_5,0.0770407396457041,Poor
catA_8,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_9,0.0086756787952445,Poor
catA_15,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_4,0.0141924507647827,Poor
catA_18,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.0409291613000984,Poor
catA_13,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.1727964239715129,Standar
catA_6,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_7,0.6540075364090032,Good
catA_16,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_2,0.0007531177354193,Poor
catA_19,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_13,0.432239118515329,Good
catA_0,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_5,0.1045774638795394,Standar
catA_2,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_1,0.0072523626181309,Poor
catA_2,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_1,0.0047042352117605,Poor
catA_2,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_1,0.00030801540077,Poor
catA_2,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_1,0.0045922296114805,Poor
catA_2,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_1,0.000266013300665,Poor
catA_2,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_1,0.000350017500875,Poor
catA_2,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_1,0.0139866993349667,Poor
catA_2,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_1,0.0012180609030451,Poor
catA_2,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_1,0.0009940497024851,Poor
catA_2,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_1,0.0020581029051452,Poor
catA_2,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_1,0.0034441722086104,Poor
catA_2,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_1,0.0069583479173958,Poor
catA_2,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_1,0.0016100805040252,Poor
catA_13,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.1055634517766497,Standar
catA_5,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.1016152738843851,Standar
catA_0,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_5,0.1318927989016829,Standar
catA_1,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_6,0.0008043585897388,Poor
catA_18,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.029743192666111,Poor
catA_6,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_7,0.8444172862138033,Good
catA_6,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_7,0.507757069626914,Good
catA_8,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_9,0.0056014611326493,Poor
catA_3,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_1,0.0285614280714035,Poor
catA_2,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_1,0.0308015400770038,Poor
catA_2,582211.0,4.0,17.7,0.0,0.0,13.0,24.0,unit_1,0.0015166958347917,Poor
catA_9,582211.0,4.0,17.7,0.0,0.0,13.0,24.0,unit_10,0.5175665236051502,Good
catA_8,582211.0,4.0,17.7,0.0,0.0,13.0,24.0,unit_9,0.0040698519177366,Poor
catA_0,582211.0,4.0,17.7,0.0,0.0,13.0,24.0,unit_5,0.0794466122054915,Poor
catA_3,582211.0,4.0,17.7,0.0,0.0,13.0,24.0,unit_1,0.019927616380819,Poor
catA_3,582211.0,4.0,17.7,0.0,0.0,13.0,24.0,unit_1,0.0253612880644032,Poor
catA_3,582211.0,4.0,17.7,0.0,0.0,13.0,24.0,unit_1,0.0124606230311515,Poor
catA_7,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_8,0.5994939968271836,Good
catA_0,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_5,0.0032099078830823,Poor
catA_0,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_5,0.0065507440212577,Poor
catA_20,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_3,0.2936131643726976,Good
catA_14,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_0,0.0423516933100992,Poor
catA_0,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_5,0.0190906430469441,Poor
catA_12,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_11,0.1063676983247282,Standar
catA_9,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_10,0.5708154506437768,Good
catA_7,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_8,0.6214246168067437,Good
catA_7,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_8,0.5959166616532129,Good
catA_4,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_3,0.0403267060572456,Poor
catA_20,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_3,0.5918749206065829,Good
catA_14,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_0,0.0594742025911053,Poor
catA_36,-38764.875,0.0,44.05,0.0,0.6,10.15,10.05,unit_3,0.0182252953435117,Poor
catA_6,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_7,0.6876803476253521,Good
catA_8,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_9,0.0058730471269596,Poor
catA_2,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_1,0.0127406370318515,Poor
catA_7,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_8,0.5999606057629189,Good
catA_2,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_1,0.0288414420721036,Poor
catA_9,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_10,0.5169098712446352,Good
catA_17,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_12,0.1269329840631959,Standar
catA_1,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_6,0.0004170782570519,Poor
catA_0,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_5,0.1806798289459698,Standar
catA_10,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_4,0.2215491023672073,Good
catA_16,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_2,0.0006764768223807,Poor
catA_20,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_3,0.212645611818547,Good
catA_16,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_2,0.0004226314861312,Poor
catA_14,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.070712326691416,Poor
catA_13,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.2614264717024017,Good
catA_16,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_2,0.0001063215906999,Poor
catA_9,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_10,0.4717467811158798,Good
catA_13,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.1753523751799378,Standar
catA_4,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_3,0.0276905356180326,Poor
catA_114,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_2,3.543025237676877e-06,Poor
catA_126,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_2,7.077544663039635e-07,Poor
catA_57,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_2,7.077544663039635e-07,Poor
catA_8,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_9,0.0018671537108831,Poor
catA_20,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_3,0.1674420041816727,Standar
catA_12,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_11,0.0857162547883368,Poor
catA_6,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_7,0.6995620735309095,Good
catA_7,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_8,0.4344699698887921,Good
catA_12,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_11,0.104417330477082,Standar
catA_6,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_7,0.7178938792137693,Good
catA_4,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_3,0.0180965492616841,Poor
catA_13,18927.0,0.0,13.13,0.0,0.73,1.45,37.83,unit_0,0.0085764073035836,Poor
catA_17,18927.0,0.0,13.13,0.0,0.73,1.45,37.83,unit_12,0.4379092831698133,Good
catA_3,18927.0,0.0,13.13,0.0,0.73,1.45,37.83,unit_1,0.0148407420371018,Poor
catA_24,21256.75,0.0,14.899999999999997,0.0,0.7,2.2,9.1,unit_2,1.4165721591471917e-06,Poor
catA_24,21256.75,0.0,14.899999999999997,0.0,0.7,2.2,9.1,unit_2,1.3667068344556709e-05,Poor
catA_1,325435.125,0.0,28.2,2.7,7.6,20.2,18.9,unit_6,0.0002561006841546,Poor
catA_13,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.0874666262595651,Poor
catA_8,-6059.125,1.96,17.93,19.18,2.48,12.15,14.18,unit_9,0.0340500940366505,Poor
catA_24,21256.75,0.0,14.899999999999997,0.0,0.7,2.2,9.1,unit_2,1.4165721591471917e-06,Poor
catA_0,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_5,0.0048944421612046,Poor
catA_1,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_6,4.39029744265174e-05,Poor
catA_17,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_12,0.0914001477129296,Poor
catA_26,-38764.875,0.0,44.05,0.0,0.6,10.15,10.05,unit_3,0.2381098701896172,Good
catA_4,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_3,0.0455623800515671,Poor
catA_14,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.0312396393666186,Poor
catA_2,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_1,0.0020110605530276,Poor
catA_9,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_10,0.5897725321888412,Good
catA_5,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.0087536328509735,Poor
catA_2,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_1,0.0033055092754637,Poor
catA_19,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_13,0.7292042909494175,Good
catA_1,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_6,0.0001610129391821,Poor
catA_10,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_4,0.0079906962447951,Poor
catA_1,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_6,0.0002414322125879,Poor
catA_15,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_4,0.0105305759884974,Poor
catA_7,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_8,0.484812096892652,Good
catA_13,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.0212053640427305,Poor
catA_7,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_8,0.4585264601795623,Good
catA_19,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_13,1.0,Good
catA_3,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_1,0.0075603780189009,Poor
catA_17,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_12,0.0101557209186767,Poor
catA_20,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_3,0.0282056916067854,Poor
catA_14,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_0,0.0327570270475035,Poor
catA_2,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_1,0.000322016100805,Poor
catA_20,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_3,0.0851869908092463,Poor
catA_14,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_0,0.0049761345556481,Poor
catA_2,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_1,0.0070983549177458,Poor
catA_0,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_5,0.0329151170947741,Poor
catA_21,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_14,0.0033120454609285,Poor
catA_7,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_8,0.470347219884857,Good
catA_0,-40055.25,0.0,14.0,0.0,2.0,9.0,15.0,unit_5,0.1696823610274578,Standar
catA_10,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_4,0.0135706453254618,Poor
catA_15,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_4,0.0149783987870606,Poor
catA_3,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_1,0.0055769408470423,Poor
catA_3,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_1,0.0039435351767588,Poor
catA_16,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_2,0.0001107517012802,Poor
catA_19,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_13,0.4439825413002332,Good
catA_9,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_10,0.5200300429184549,Good
catA_13,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.0324751875142056,Poor
catA_11,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.0552469126448973,Poor
catA_3,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_1,0.0122272733636681,Poor
catA_4,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_3,0.0269657810080646,Poor
catA_8,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_9,0.0124162326948799,Poor
catA_18,62334.0,0.0,40.14,5.84,2.37,13.94,18.38,unit_0,0.0353984392757027,Poor
catA_3,62334.0,0.0,40.14,5.84,2.37,13.94,18.38,unit_1,0.0116439201960097,Poor
catA_4,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_3,0.0141625839853607,Poor
catA_12,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_11,0.1321400060877205,Standar
catA_5,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.1587117205848927,Standar
catA_16,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_2,5.759037431697304e-05,Poor
catA_16,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_2,5.640898786831123e-05,Poor
catA_17,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_12,0.0602574264013889,Poor
catA_18,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.0210369573452534,Poor
catA_3,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_1,0.0227277563878193,Poor
catA_10,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_4,0.0254127687569259,Poor
catA_15,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_4,0.0167351492835531,Poor
catA_3,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_1,0.0493290864543227,Poor
catA_6,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_7,0.7541365380045493,Good
catA_12,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_11,0.1326663641950138,Standar
catA_19,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_13,0.1454428023133706,Standar
catA_9,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_10,0.4892703862660944,Good
catA_13,75808.375,0.0,26.0,0.0,0.0,9.0,20.0,unit_0,0.1003785135237518,Standar
