categoryA,categoryC,featureD,featureE,featureF,compositionC,unit,result,water_quality
catA_7,catC_1696,122.299437237519,30.8319059046492,0.0,26.0,unit_8,0.4856930545633203,Standard
catA_5,catC_1696,122.299437237519,30.8319059046492,0.0,26.0,unit_0,0.0314878399878778,Very Poor
catA_0,catC_1089,122.299437237519,30.8319059046492,2.0,26.0,unit_5,0.0237824003897254,Very Poor
catA_12,catC_406,122.299437237519,30.8319059046492,5.0,26.0,unit_11,0.0469501094066769,Very Poor
catA_13,catC_406,122.299437237519,30.8319059046492,5.0,26.0,unit_0,0.0803773013107053,Very Poor
catA_6,catC_406,122.299437237519,30.8319059046492,5.0,26.0,unit_7,0.5379298638693689,Standard
catA_10,catC_1209,122.299437237519,30.8319059046492,0.0,26.0,unit_4,0.0132101280794198,Very Poor
catA_80,catC_719,93.6771974435832,15.047884084971097,4.0,14.0,unit_2,0.0070881758652057,Very Poor
catA_5,catC_621,274.70898193692403,26.637510770071906,0.0,28.2,unit_0,0.0542404727630881,Very Poor
catA_5,catC_764,274.70898193692403,26.637510770071906,0.0,28.2,unit_0,0.0967315705735282,Very Poor
catA_5,catC_404,274.70898193692403,26.637510770071906,0.0,28.2,unit_0,0.0021304644291234,Very Poor
catA_5,catC_372,274.70898193692403,26.637510770071906,0.0,28.2,unit_0,0.0024850367452079,Very Poor
catA_5,catC_396,274.70898193692403,26.637510770071906,5.0,28.2,unit_0,0.2266323206303507,Poor
catA_5,catC_163,274.70898193692403,26.637510770071906,0.0,28.2,unit_0,0.0141556178498371,Very Poor
catA_5,catC_663,274.70898193692403,26.637510770071906,0.0,28.2,unit_0,0.0042275929994696,Very Poor
catA_9,catC_1815,93.6771974435832,15.047884084971097,0.0,14.0,unit_10,0.3690987124463519,Poor
catA_6,catC_1502,44.7230757742448,17.622537763760466,0.0,44.05,unit_7,0.8458193298706591,Very Good
catA_0,catC_685,112.2619412173,14.289474436432974,4.0,27.680000000000003,unit_5,0.0405566915854738,Very Poor
catA_4,catC_585,93.6771974435832,15.047884084971097,0.0,14.0,unit_3,0.0280151474056806,Very Poor
catA_5,catC_965,274.70898193692403,26.637510770071906,0.0,28.2,unit_0,0.0187226305023107,Very Poor
catA_5,catC_823,274.70898193692403,26.637510770071906,18.0,28.2,unit_0,0.0754451094779907,Very Poor
catA_3,catC_1938,107.127966860564,28.413315299263893,4.0,18.5,unit_1,0.0026448582429121,Very Poor
catA_10,catC_2486,122.299437237519,30.8319059046492,0.0,26.0,unit_4,0.0156006535963198,Very Poor
catA_10,catC_2671,122.299437237519,30.8319059046492,1.0,26.0,unit_4,0.0415045428441146,Very Poor
catA_7,catC_373,122.299437237519,30.8319059046492,1.0,26.0,unit_8,0.5796369869580313,Standard
catA_19,catC_373,122.299437237519,30.8319059046492,1.0,26.0,unit_13,0.3911944464235376,Poor
catA_1,catC_245,122.299437237519,30.8319059046492,5.0,26.0,unit_6,0.0004270100854888,Very Poor
catA_0,catC_5,122.299437237519,30.8319059046492,0.0,26.0,unit_5,0.0770407396457041,Very Poor
catA_8,catC_5,122.299437237519,30.8319059046492,0.0,26.0,unit_9,0.0086756787952445,Very Poor
catA_15,catC_5,122.299437237519,30.8319059046492,0.0,26.0,unit_4,0.0141924507647827,Very Poor
catA_18,catC_5,122.299437237519,30.8319059046492,0.0,26.0,unit_0,0.0409291613000984,Very Poor
catA_13,catC_5,122.299437237519,30.8319059046492,2.0,26.0,unit_0,0.1727964239715129,Very Poor
catA_6,catC_47,122.299437237519,30.8319059046492,3.0,26.0,unit_7,0.6540075364090032,Good
catA_16,catC_38,122.299437237519,30.8319059046492,0.0,26.0,unit_2,0.0007531177354193,Very Poor
catA_19,catC_38,122.299437237519,30.8319059046492,0.0,26.0,unit_13,0.432239118515329,Standard
catA_0,catC_24,122.299437237519,30.8319059046492,0.0,26.0,unit_5,0.1045774638795394,Very Poor
catA_2,catC_77,274.70898193692403,26.637510770071906,24.0,28.2,unit_1,0.0072523626181309,Very Poor
catA_2,catC_200,274.70898193692403,26.637510770071906,14.0,28.2,unit_1,0.0047042352117605,Very Poor
catA_2,catC_86,274.70898193692403,26.637510770071906,0.0,28.2,unit_1,0.00030801540077,Very Poor
catA_2,catC_152,274.70898193692403,26.637510770071906,84.0,28.2,unit_1,0.0045922296114805,Very Poor
catA_2,catC_191,274.70898193692403,26.637510770071906,1.0,28.2,unit_1,0.000266013300665,Very Poor
catA_2,catC_265,274.70898193692403,26.637510770071906,5.0,28.2,unit_1,0.000350017500875,Very Poor
catA_2,catC_729,274.70898193692403,26.637510770071906,4.0,28.2,unit_1,0.0139866993349667,Very Poor
catA_2,catC_1191,274.70898193692403,26.637510770071906,3.0,28.2,unit_1,0.0012180609030451,Very Poor
catA_2,catC_1195,274.70898193692403,26.637510770071906,0.0,28.2,unit_1,0.0009940497024851,Very Poor
catA_2,catC_967,274.70898193692403,26.637510770071906,1.0,28.2,unit_1,0.0020581029051452,Very Poor
catA_2,catC_592,274.70898193692403,26.637510770071906,0.0,28.2,unit_1,0.0034441722086104,Very Poor
catA_2,catC_681,274.70898193692403,26.637510770071906,4.0,28.2,unit_1,0.0069583479173958,Very Poor
catA_2,catC_1116,274.70898193692403,26.637510770071906,0.0,28.2,unit_1,0.0016100805040252,Very Poor
catA_13,catC_5,122.299437237519,30.8319059046492,0.0,26.0,unit_0,0.1055634517766497,Very Poor
catA_5,catC_5,122.299437237519,30.8319059046492,0.0,26.0,unit_0,0.1016152738843851,Very Poor
catA_0,catC_5,122.299437237519,30.8319059046492,2.0,26.0,unit_5,0.1318927989016829,Very Poor
catA_1,catC_5,122.299437237519,30.8319059046492,2.0,26.0,unit_6,0.0008043585897388,Very Poor
catA_18,catC_5,122.299437237519,30.8319059046492,2.0,26.0,unit_0,0.029743192666111,Very Poor
catA_6,catC_241,274.70898193692403,26.637510770071906,5.0,28.2,unit_7,0.8444172862138033,Very Good
catA_6,catC_315,274.70898193692403,26.637510770071906,4.0,28.2,unit_7,0.507757069626914,Standard
catA_8,catC_825,64.7110998526161,28.29370430483317,2.0,17.93,unit_9,0.0056014611326493,Very Poor
catA_3,catC_825,64.7110998526161,28.29370430483317,2.0,17.93,unit_1,0.0285614280714035,Very Poor
catA_2,catC_1201,64.7110998526161,28.29370430483317,0.0,17.93,unit_1,0.0308015400770038,Very Poor
catA_2,catC_1232,237.30759674834,38.767233989074136,0.0,17.7,unit_1,0.0015166958347917,Very Poor
catA_9,catC_1232,237.30759674834,38.767233989074136,0.0,17.7,unit_10,0.5175665236051502,Standard
catA_8,catC_1128,237.30759674834,38.767233989074136,7.0,17.7,unit_9,0.0040698519177366,Very Poor
catA_0,catC_1128,237.30759674834,38.767233989074136,7.0,17.7,unit_5,0.0794466122054915,Very Poor
catA_3,catC_1128,237.30759674834,38.767233989074136,7.0,17.7,unit_1,0.019927616380819,Very Poor
catA_3,catC_1413,237.30759674834,38.767233989074136,4.0,17.7,unit_1,0.0253612880644032,Very Poor
catA_3,catC_1380,237.30759674834,38.767233989074136,1.0,17.7,unit_1,0.0124606230311515,Very Poor
catA_7,catC_914,64.7110998526161,28.29370430483317,2.0,17.93,unit_8,0.5994939968271836,Standard
catA_0,catC_1356,64.7110998526161,28.29370430483317,0.0,17.93,unit_5,0.0032099078830823,Very Poor
catA_0,catC_1399,64.7110998526161,28.29370430483317,65.0,17.93,unit_5,0.0065507440212577,Very Poor
catA_20,catC_956,64.7110998526161,28.29370430483317,1.0,17.93,unit_3,0.2936131643726976,Poor
catA_14,catC_956,64.7110998526161,28.29370430483317,1.0,17.93,unit_0,0.0423516933100992,Very Poor
catA_0,catC_956,64.7110998526161,28.29370430483317,1.0,17.93,unit_5,0.0190906430469441,Very Poor
catA_12,catC_558,64.7110998526161,28.29370430483317,1.0,17.93,unit_11,0.1063676983247282,Very Poor
catA_9,catC_558,64.7110998526161,28.29370430483317,1.0,17.93,unit_10,0.5708154506437768,Standard
catA_7,catC_1052,64.7110998526161,28.29370430483317,5.0,17.93,unit_8,0.6214246168067437,Good
catA_7,catC_666,64.7110998526161,28.29370430483317,1.0,17.93,unit_8,0.5959166616532129,Standard
catA_4,catC_619,64.7110998526161,28.29370430483317,0.0,17.93,unit_3,0.0403267060572456,Very Poor
catA_20,catC_737,64.7110998526161,28.29370430483317,4.0,17.93,unit_3,0.5918749206065829,Standard
catA_14,catC_737,64.7110998526161,28.29370430483317,4.0,17.93,unit_0,0.0594742025911053,Very Poor
catA_36,catC_860,44.7230757742448,17.622537763760466,0.0,44.05,unit_3,0.0182252953435117,Very Poor
catA_6,catC_1399,64.7110998526161,28.29370430483317,65.0,17.93,unit_7,0.6876803476253521,Good
catA_8,catC_956,64.7110998526161,28.29370430483317,1.0,17.93,unit_9,0.0058730471269596,Very Poor
catA_2,catC_558,64.7110998526161,28.29370430483317,1.0,17.93,unit_1,0.0127406370318515,Very Poor
catA_7,catC_558,64.7110998526161,28.29370430483317,1.0,17.93,unit_8,0.5999606057629189,Standard
catA_2,catC_666,64.7110998526161,28.29370430483317,1.0,17.93,unit_1,0.0288414420721036,Very Poor
catA_9,catC_666,64.7110998526161,28.29370430483317,1.0,17.93,unit_10,0.5169098712446352,Standard
catA_17,catC_666,64.7110998526161,28.29370430483317,1.0,17.93,unit_12,0.1269329840631959,Very Poor
catA_1,catC_431,64.7110998526161,28.29370430483317,2.0,17.93,unit_6,0.0004170782570519,Very Poor
catA_0,catC_242,122.299437237519,30.8319059046492,0.0,26.0,unit_5,0.1806798289459698,Very Poor
catA_10,catC_242,122.299437237519,30.8319059046492,0.0,26.0,unit_4,0.2215491023672073,Poor
catA_16,catC_437,122.299437237519,30.8319059046492,0.0,26.0,unit_2,0.0006764768223807,Very Poor
catA_20,catC_595,122.299437237519,30.8319059046492,3.0,26.0,unit_3,0.212645611818547,Poor
catA_16,catC_595,122.299437237519,30.8319059046492,3.0,26.0,unit_2,0.0004226314861312,Very Poor
catA_14,catC_595,122.299437237519,30.8319059046492,3.0,26.0,unit_0,0.070712326691416,Very Poor
catA_13,catC_595,122.299437237519,30.8319059046492,3.0,26.0,unit_0,0.2614264717024017,Poor
catA_16,catC_425,122.299437237519,30.8319059046492,0.0,26.0,unit_2,0.0001063215906999,Very Poor
catA_9,catC_156,122.299437237519,30.8319059046492,0.0,26.0,unit_10,0.4717467811158798,Standard
catA_13,catC_425,122.299437237519,30.8319059046492,0.0,26.0,unit_0,0.1753523751799378,Very Poor
catA_4,catC_1905,122.299437237519,30.8319059046492,3.0,26.0,unit_3,0.0276905356180326,Very Poor
catA_114,catC_1236,93.6771974435832,15.047884084971097,4.0,14.0,unit_2,3.543025237676877e-06,Very Poor
catA_126,catC_1236,93.6771974435832,15.047884084971097,4.0,14.0,unit_2,7.077544663039635e-07,Very Poor
catA_57,catC_1236,93.6771974435832,15.047884084971097,4.0,14.0,unit_2,7.077544663039635e-07,Very Poor
catA_8,catC_431,64.7110998526161,28.29370430483317,2.0,17.93,unit_9,0.0018671537108831,Very Poor
catA_20,catC_619,64.7110998526161,28.29370430483317,0.0,17.93,unit_3,0.1674420041816727,Very Poor
catA_12,catC_737,64.7110998526161,28.29370430483317,4.0,17.93,unit_11,0.0857162547883368,Very Poor
catA_6,catC_737,64.7110998526161,28.29370430483317,4.0,17.93,unit_7,0.6995620735309095,Good
catA_7,catC_825,64.7110998526161,28.29370430483317,2.0,17.93,unit_8,0.4344699698887921,Standard
catA_12,catC_1201,64.7110998526161,28.29370430483317,0.0,17.93,unit_11,0.104417330477082,Very Poor
catA_6,catC_1201,64.7110998526161,28.29370430483317,0.0,17.93,unit_7,0.7178938792137693,Good
catA_4,catC_1760,64.7110998526161,28.29370430483317,1.0,17.93,unit_3,0.0180965492616841,Very Poor
catA_13,catC_1635,18.1485472672831,14.177182135138864,2.0,13.13,unit_0,0.0085764073035836,Very Poor
catA_17,catC_1635,18.1485472672831,14.177182135138864,2.0,13.13,unit_12,0.4379092831698133,Standard
catA_3,catC_2646,18.1485472672831,14.177182135138864,33.0,13.13,unit_1,0.0148407420371018,Very Poor
catA_24,catC_1473,137.657705257705,21.99909212365624,6.0,14.899999999999997,unit_2,1.4165721591471917e-06,Very Poor
catA_24,catC_2319,137.657705257705,21.99909212365624,5.0,14.899999999999997,unit_2,1.3667068344556709e-05,Very Poor
catA_1,catC_482,274.70898193692403,26.637510770071906,0.0,28.2,unit_6,0.0002561006841546,Very Poor
catA_13,catC_272,122.299437237519,30.8319059046492,0.0,26.0,unit_0,0.0874666262595651,Very Poor
catA_8,catC_1201,64.7110998526161,28.29370430483317,0.0,17.93,unit_9,0.0340500940366505,Very Poor
catA_24,catC_2814,137.657705257705,21.99909212365624,0.0,14.899999999999997,unit_2,1.4165721591471917e-06,Very Poor
catA_0,catC_113,93.6771974435832,15.047884084971097,1.0,14.0,unit_5,0.0048944421612046,Very Poor
catA_1,catC_113,93.6771974435832,15.047884084971097,1.0,14.0,unit_6,4.39029744265174e-05,Very Poor
catA_17,catC_113,93.6771974435832,15.047884084971097,1.0,14.0,unit_12,0.0914001477129296,Very Poor
catA_26,catC_1129,44.7230757742448,17.622537763760466,0.0,44.05,unit_3,0.2381098701896172,Poor
catA_4,catC_252,122.299437237519,30.8319059046492,0.0,26.0,unit_3,0.0455623800515671,Very Poor
catA_14,catC_252,122.299437237519,30.8319059046492,0.0,26.0,unit_0,0.0312396393666186,Very Poor
catA_2,catC_252,122.299437237519,30.8319059046492,0.0,26.0,unit_1,0.0020110605530276,Very Poor
catA_9,catC_252,122.299437237519,30.8319059046492,0.0,26.0,unit_10,0.5897725321888412,Standard
catA_5,catC_252,122.299437237519,30.8319059046492,0.0,26.0,unit_0,0.0087536328509735,Very Poor
catA_2,catC_135,122.299437237519,30.8319059046492,1.0,26.0,unit_1,0.0033055092754637,Very Poor
catA_19,catC_2056,122.299437237519,30.8319059046492,2.0,26.0,unit_13,0.7292042909494175,Good
catA_1,catC_1637,122.299437237519,30.8319059046492,0.0,26.0,unit_6,0.0001610129391821,Very Poor
catA_10,catC_360,122.299437237519,30.8319059046492,0.0,26.0,unit_4,0.0079906962447951,Very Poor
catA_1,catC_360,122.299437237519,30.8319059046492,0.0,26.0,unit_6,0.0002414322125879,Very Poor
catA_15,catC_360,122.299437237519,30.8319059046492,0.0,26.0,unit_4,0.0105305759884974,Very Poor
catA_7,catC_2276,122.299437237519,30.8319059046492,0.0,26.0,unit_8,0.484812096892652,Standard
catA_13,catC_360,122.299437237519,30.8319059046492,0.0,26.0,unit_0,0.0212053640427305,Very Poor
catA_7,catC_2136,122.299437237519,30.8319059046492,0.0,26.0,unit_8,0.4585264601795623,Standard
catA_19,catC_2136,122.299437237519,30.8319059046492,0.0,26.0,unit_13,1.0,Very Good
catA_3,catC_927,122.299437237519,30.8319059046492,3.0,26.0,unit_1,0.0075603780189009,Very Poor
catA_17,catC_1702,122.299437237519,30.8319059046492,0.0,26.0,unit_12,0.0101557209186767,Very Poor
catA_20,catC_1633,93.6771974435832,15.047884084971097,0.0,14.0,unit_3,0.0282056916067854,Very Poor
catA_14,catC_1633,93.6771974435832,15.047884084971097,0.0,14.0,unit_0,0.0327570270475035,Very Poor
catA_2,catC_2431,93.6771974435832,15.047884084971097,0.0,14.0,unit_1,0.000322016100805,Very Poor
catA_20,catC_865,93.6771974435832,15.047884084971097,0.0,14.0,unit_3,0.0851869908092463,Very Poor
catA_14,catC_865,93.6771974435832,15.047884084971097,0.0,14.0,unit_0,0.0049761345556481,Very Poor
catA_2,catC_865,93.6771974435832,15.047884084971097,0.0,14.0,unit_1,0.0070983549177458,Very Poor
catA_0,catC_165,93.6771974435832,15.047884084971097,6.0,14.0,unit_5,0.0329151170947741,Very Poor
catA_21,catC_165,93.6771974435832,15.047884084971097,6.0,14.0,unit_14,0.0033120454609285,Very Poor
catA_7,catC_165,93.6771974435832,15.047884084971097,6.0,14.0,unit_8,0.470347219884857,Standard
catA_0,catC_335,93.6771974435832,15.047884084971097,4.0,14.0,unit_5,0.1696823610274578,Very Poor
catA_10,catC_360,122.299437237519,30.8319059046492,0.0,26.0,unit_4,0.0135706453254618,Very Poor
catA_15,catC_360,122.299437237519,30.8319059046492,0.0,26.0,unit_4,0.0149783987870606,Very Poor
catA_3,catC_360,122.299437237519,30.8319059046492,0.0,26.0,unit_1,0.0055769408470423,Very Poor
catA_3,catC_2399,122.299437237519,30.8319059046492,0.0,26.0,unit_1,0.0039435351767588,Very Poor
catA_16,catC_927,122.299437237519,30.8319059046492,3.0,26.0,unit_2,0.0001107517012802,Very Poor
catA_19,catC_927,122.299437237519,30.8319059046492,3.0,26.0,unit_13,0.4439825413002332,Standard
catA_9,catC_927,122.299437237519,30.8319059046492,3.0,26.0,unit_10,0.5200300429184549,Standard
catA_13,catC_927,122.299437237519,30.8319059046492,3.0,26.0,unit_0,0.0324751875142056,Very Poor
catA_11,catC_78,122.299437237519,30.8319059046492,5.0,26.0,unit_0,0.0552469126448973,Very Poor
catA_3,catC_78,122.299437237519,30.8319059046492,5.0,26.0,unit_1,0.0122272733636681,Very Poor
catA_4,catC_629,122.299437237519,30.8319059046492,0.0,26.0,unit_3,0.0269657810080646,Very Poor
catA_8,catC_629,122.299437237519,30.8319059046492,0.0,26.0,unit_9,0.0124162326948799,Very Poor
catA_18,catC_1087,377.379590488771,24.6255027667738,5.0,40.14,unit_0,0.0353984392757027,Very Poor
catA_3,catC_1087,377.379590488771,24.6255027667738,5.0,40.14,unit_1,0.0116439201960097,Very Poor
catA_4,catC_1333,122.299437237519,30.8319059046492,0.0,26.0,unit_3,0.0141625839853607,Very Poor
catA_12,catC_1333,122.299437237519,30.8319059046492,0.0,26.0,unit_11,0.1321400060877205,Very Poor
catA_5,catC_1333,122.299437237519,30.8319059046492,0.0,26.0,unit_0,0.1587117205848927,Very Poor
catA_16,catC_2225,122.299437237519,30.8319059046492,1.0,26.0,unit_2,5.759037431697304e-05,Very Poor
catA_16,catC_1335,122.299437237519,30.8319059046492,2.0,26.0,unit_2,5.640898786831123e-05,Very Poor
catA_17,catC_1335,122.299437237519,30.8319059046492,2.0,26.0,unit_12,0.0602574264013889,Very Poor
catA_18,catC_1544,122.299437237519,30.8319059046492,0.0,26.0,unit_0,0.0210369573452534,Very Poor
catA_3,catC_2028,122.299437237519,30.8319059046492,4.0,26.0,unit_1,0.0227277563878193,Very Poor
catA_10,catC_962,122.299437237519,30.8319059046492,0.0,26.0,unit_4,0.0254127687569259,Very Poor
catA_15,catC_962,122.299437237519,30.8319059046492,0.0,26.0,unit_4,0.0167351492835531,Very Poor
